S하중,S저항,T저항,M하중,M_stroke,C하중,C_stroke,C저항,저항합,Gap,초기위치,이동속도,접촉예측,1초,2초,3초,4초,5초,6초,7초,8초,9초,10초,11초,12초,Trip시간
123,0.084,0.756,218,1.95,323,1.7,1.0613,0.84,1.598,8.186,0.0473,34.17,8.186,8.167,8.145,8.125,8.065,7.995,7.933,7.927,7.851,7.782,7.713,7.672,95
103,0.083,0.785,216,1.96,298,1.73,1.0578,0.868,1.396,8.145,0.0299,31.62,8.13,8.126,8.112,8.091,8.065,8.05,8.018,7.975,7.935,7.889,7.831,7.773,95
104,0.092,0.735,218,1.85,298,1.59,1.1678,0.827,1.552,8.157,0.0369,34.39,8.165,8.127,8.097,8.061,8.018,8.027,7.993,7.95,7.905,7.793,7.796,7.702,106
107,0.087,0.765,225,1.83,312,1.65,1.0107,0.852,1.437,8.435,0.0449,30.69,8.447,8.416,8.396,8.343,8.291,8.278,8.184,8.161,8.096,8.049,7.998,7.941,84
93,0.085,0.737,221,2.08,299,1.83,1.0552,0.822,1.408,8.247,0.0476,29.67,8.233,8.206,8.178,8.113,8.09,8.042,7.977,7.926,7.877,7.824,7.757,7.69,91
109,0.112,0.735,206,1.79,298,1.58,1.1469,0.847,1.763,8.234,0.0477,37.98,8.236,8.207,8.178,8.109,8.067,8.024,7.993,7.955,7.881,7.82,7.759,7.703,103
87,0.097,0.781,228,2.15,331,1.92,1.0054,0.878,1.133,8.084,0.0487,23.09,8.071,8.054,8.006,7.956,7.903,7.847,7.778,7.722,7.684,7.622,7.584,7.513,99
99,0.102,0.735,208,1.92,272,1.7,1.0382,0.837,1.67,8.284,0.05,35.39,8.261,8.215,8.171,8.132,8.07,8.022,7.96,7.905,7.846,7.814,7.755,7.681,102
106,0.088,0.778,221,2.32,287,2.05,1.0927,0.866,1.442,8.298,0.0422,31.15,8.291,8.236,8.195,8.146,8.092,8.046,7.996,7.96,7.902,7.847,7.869,7.814,101
86,0.113,0.736,222,1.96,313,1.77,1.0525,0.849,1.779,8.174,0.0458,38.6,8.153,8.116,8.09,8.028,7.985,7.932,7.888,7.837,7.796,7.773,7.695,7.644,119
100,0.087,0.737,235,1.87,323,1.61,0.9963,0.824,1.793,8.248,0.05,38.4,8.22,8.178,8.142,8.111,8.135,7.996,8.065,7.885,7.845,7.792,7.72,7.707,110
76,0.102,0.743,225,1.9,315,1.66,1.0888,0.845,1.801,8.256,0.0512,38.43,8.256,8.222,8.187,8.158,8.054,8.024,7.964,7.919,7.893,7.834,7.744,7.701,101
94,0.108,0.742,219,1.83,291,1.63,1.0424,0.85,1.836,7.971,0.0466,39.83,7.964,7.917,7.886,7.879,7.811,7.738,7.697,7.652,7.578,7.548,7.498,7.426,106
105,0.089,0.758,216,2.27,298,1.94,1.3324,0.847,1.193,8.212,0.0469,24.72,8.197,8.178,8.14,8.088,8.05,7.996,7.951,7.889,7.829,7.781,7.728,7.664,96
104,0.084,0.735,240,2.18,324,1.92,1.0152,0.819,1.228,8.24,0.0338,27.19,8.232,8.208,8.204,8.18,8.144,8.145,8.041,8.098,8.046,8.017,7.894,7.753,97
80,0.066,0.761,206,1.89,284,1.74,1.1204,0.827,1.528,8.164,0.0494,32.26,8.149,8.098,8.065,8.023,7.962,7.922,7.873,7.809,7.784,7.715,7.655,7.616,100
110,0.082,0.737,201,1.99,280,1.71,1.0341,0.819,1.502,8.083,0.0465,32.02,8.065,8.032,7.986,7.942,7.926,7.886,7.848,7.774,7.706,7.646,7.6,7.562,95
96,0.089,0.747,227,1.84,300,1.68,1.167,0.836,1.501,8.08,0.0497,31.59,8.06,8.017,7.955,7.935,7.889,7.859,7.779,7.711,7.667,7.622,7.563,7.494,96
77,0.092,0.739,218,1.9,329,1.67,1.108,0.831,1.685,8.112,0.0474,36.19,8.093,8.055,8.016,7.969,7.933,7.876,7.827,7.773,7.706,7.676,7.619,7.558,99
93,0.098,0.743,223,1.88,294,1.68,1.0331,0.841,1.678,8.123,0.0457,36.24,8.114,8.05,8.022,7.974,7.911,7.889,7.916,7.963,7.863,7.779,7.657,7.582,96
74,0.09,0.733,220,1.9,295,1.68,1.0388,0.823,1.617,8.219,0.046,34.77,8.208,8.18,8.149,8.099,8.043,8.015,7.956,7.916,7.852,7.79,7.748,7.69,97
97,0.088,0.734,216,2.04,314,1.71,1.1559,0.822,1.414,8.046,0.0475,29.83,8.039,8.013,7.971,7.93,7.882,7.833,7.78,7.733,7.692,7.628,7.564,7.521,99
86,0.097,0.726,204,1.9,292,1.74,0.9984,0.823,1.52,8.012,0.0516,31.8,7.975,7.942,7.896,7.845,7.794,7.773,7.697,7.641,7.585,7.535,7.459,7.405,91
106,0.09,0.794,213,1.8,292,1.62,0.9804,0.884,1.657,8.019,0.0492,35.31,8.005,7.98,8.011,7.957,7.863,7.828,7.78,7.71,7.656,7.591,7.513,7.481,95
91,0.11,0.781,192,1.72,276,1.54,1.0994,0.891,1.693,8.132,0.0499,36.07,8.117,8.061,8.021,7.979,7.936,7.882,7.843,7.786,7.72,7.681,7.618,7.563,89
74,0.093,0.748,213,1.85,271,1.6,1.0982,0.841,1.63,8.296,0.05,34.54,8.286,8.256,8.172,8.18,8.137,8.067,8.002,7.953,7.93,7.881,7.781,7.76,90
90,0.1,0.741,224,1.76,306,1.5,1.0411,0.841,1.7,8.197,0.05,36.79,8.185,8.17,8.135,8.104,8.062,7.997,7.976,7.903,7.853,7.792,7.734,7.679,89
75,0.095,0.749,213,1.92,293,1.61,1.1108,0.844,1.623,8.101,0.0493,34.5,8.1,8.055,8.027,7.99,7.904,7.88,7.825,7.766,7.731,7.671,7.607,7.56,98
