No,S하중,S저항,S하중,T저항,M하중,M_stroke,C하중,C_stroke,C_전저항,바이메탈위치,바이메탈높이,Case Ass'y Total Gap (On),과전류 Trip 시간 (200%) 190325
1,123,84,350,0.756,218,1.95,323,1.7,1.0955,37,16.87,1.29,107
2,103,83,300,0.785,216,1.96,298,1.73,1.0164,36.87,16.92,1.69,117
3,104,92,310,0.735,218,1.85,298,1.59,1.018,37,16.99,1.8,128
4,107,87,270,0.765,225,1.83,312,1.65,1.0735,36.86,16.91,1.89,120
5,93,85,250,0.737,221,2.08,299,1.83,1.0073,36.74,17.06,1.41,90
6,109,112,260,0.735,206,1.79,298,1.58,1.0302,36.88,16.94,1.7,105
7,87,97,230,0.781,228,2.15,331,1.92,1.0114,37.1,16.95,1.18,98
8,99,102,290,0.735,208,1.92,272,1.7,1.0891,36.92,16.96,1.61,105
9,106,88,310,0.778,221,2.32,287,2.05,1.0217,37.17,17.12,1.4,108
10,86,113,300,0.736,222,1.96,313,1.77,1.0349,37.24,16.95,1.74,109
11,100,87,280,0.737,235,1.87,323,1.61,0.971,36.95,16.91,1.75,115
12,76,102,270,0.743,225,1.9,315,1.66,1.081,37.14,16.99,1.7,105
13,94,108,260,0.742,219,1.83,291,1.63,1.01,37.21,16.92,1.85,115
14,105,89,290,0.758,216,2.27,298,1.94,1.003,36.84,16.9,1.68,145
15,104,84,330,0.735,240,2.18,324,1.92,0.97,36.84,16.99,1.71,146
16,80,66,200,0.761,206,1.89,284,1.74,1.0601,36.98,17.06,2.25,178
17,110,82,330,0.737,201,1.99,280,1.71,1.0121,37.06,17.13,2.13,146
18,96,89,330,0.747,227,1.84,300,1.68,1.002,37.03,16.97,2.26,146
19,77,92,250,0.739,218,1.9,329,1.67,1.0904,37,17.06,2.24,147
20,93,98,310,0.743,223,1.88,294,1.68,1.0423,36.97,17.21,2.34,141
21,74,90,280,0.733,220,1.9,295,1.68,1.006,36.86,17.18,2.21,145
22,97,88,310,0.734,216,2.04,314,1.71,1.074,37.11,17.09,2.06,145
23,86,97,260,0.726,204,1.9,292,1.74,1.0078,37.15,17.28,2.25,142
24,106,90,270,0.794,213,1.8,292,1.62,1.0116,37.08,16.98,2.2,125
25,91,110,360,0.781,192,1.72,276,1.54,1.0137,37.02,17.06,2.38,148
26,74,93,250,0.748,213,1.85,271,1.6,1.052,36.82,16.98,2.09,123
27,90,100,320,0.741,224,1.76,306,1.5,1.033,36.95,17.05,2.19,128
28,75,95,270,0.749,213,1.92,293,1.61,1.131,37.05,17.03,2.17,136
29,104,104,270,0.771,232,1.87,339,1.68,1.034,37.25,17.17,2.19,131
30,95,96,290,0.756,210,1.9,262,1.63,0.98,37.04,16.94,2.28,147
