COMP_SEQNO,PCB_SEQNO,ARRAY_INDEX,ASST_SEQNO,MACHIN_ID,JOB_NM,GUI_USER,USER,VENDOR_NM,END_DATE_TIME,BARCODE,INSP_COND_NM,COMPONENT_STATUS,Offset Length(um)_VALUE,Offset Length(um)_RESULT,Offset Width (um)_VALUE,Offset Width (um)_RESULT,Offset Angle(Deg)_VALUE,Offset Angle(Deg)_RESULT,NonBareCopper Area (%)_VALUE,NonBareCopper Area (%)_RESULT,Volume (%)_VALUE,Volume (%)_RESULT,NonBareCopper Area (%)_VALUE,NonBareCopper Area (%)_RESULT,Volume (%)_VALUE,Volume (%)_RESULT,Coner Height [3] (um)_VALUE,Coner Height [3] (um)_RESULT,Coner Height [4] (um)_VALUE,Coner Height [4] (um)_RESULT,Height Diff. 4Corner (um)_VALUE,Height Diff. 4Corner (um)_RESULT,Max Msr Heiht (um)_VALUE,Max Msr Heiht (um)_RESULT,Min Msr Heiht (um)_VALUE,Min Msr Heiht (um)_RESULT,Coner Height [1] (um)_VALUE,Coner Height [1] (um)_RESULT,Coner Height [2] (um)_VALUE,Coner Height [2] (um)_RESULT,Length (%)_VALUE,Length (%)_RESULT,Width (um)_VALUE,Width (um)_RESULT,Thickness (um)_VALUE,Thickness (um)_RESULT,Width (%)_VALUE,Width (%)_RESULT,Thickness (%)_VALUE,Thickness (%)_RESULT,Length (um)_VALUE,Length (um)_RESULT,Volume (%)_VALUE,Volume (%)_RESULT,Average Height (um)_VALUE,Average Height (um)_RESULT,Brightness [Gray]_VALUE,Brightness [Gray]_RESULT,Length Offset Threshold_TOL,Width Offset Threshold_TOL,Rotation Offset Threshold_TOL,Min. Length[%]_TOL,Max. Length[%]_TOL,Max. Width[%]_TOL,Min. Width[%]_TOL,Min. Thickness[%]_TOL,Max. Thickness[%]_TOL
171206870,634961,2,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,-13.628,GOOD,24.609,GOOD,0,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,786,GOOD,800,GOOD,19,GOOD,805,GOOD,786,GOOD,805,GOOD,788,GOOD,97.727,GOOD,1204.827,GOOD,766.957,GOOD,100.4,GOOD,102.261,GOOD,1856.831,GOOD,112.869,GOOD,776.194,GOOD,253,GOOD,160,150,7,80,120,120,80,80,120
171206872,634961,4,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,-7.292,GOOD,25.309,GOOD,0,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,778,GOOD,787,GOOD,9,GOOD,787,GOOD,778,GOOD,779,GOOD,778,GOOD,97.17,GOOD,1212.985,GOOD,758.279,GOOD,101.079,GOOD,101.103,GOOD,1846.243,GOOD,109.587,GOOD,761.638,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206871,634961,3,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,0.754,GOOD,22.545,GOOD,-0.448,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,798,GOOD,793,GOOD,27,GOOD,798,GOOD,771,GOOD,791,GOOD,771,GOOD,96.414,GOOD,1206.614,GOOD,762.78,GOOD,100.549,GOOD,101.704,GOOD,1831.882,GOOD,112.481,GOOD,772.916,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206873,634961,5,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,-3.67,GOOD,16.067,GOOD,0,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,800,GOOD,798,GOOD,27,GOOD,800,GOOD,773,GOOD,780,GOOD,773,GOOD,97.011,GOOD,1202.705,GOOD,758.125,GOOD,100.223,GOOD,101.083,GOOD,1843.217,GOOD,107.833,GOOD,771.333,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206869,634961,1,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,-13.386,GOOD,18.919,GOOD,-0.448,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,794,GOOD,793,GOOD,12,GOOD,794,GOOD,782,GOOD,783,GOOD,782,GOOD,97.544,GOOD,1202.336,GOOD,765.219,GOOD,100.192,GOOD,102.029,GOOD,1853.354,GOOD,112.552,GOOD,779.638,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206878,634961,5,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,40.945,GOOD,27.72,GOOD,0,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,793,GOOD,795,GOOD,2,GOOD,795,GOOD,793,GOOD,794,GOOD,795,GOOD,96.7,GOOD,1200.556,GOOD,761.475,GOOD,100.044,GOOD,101.53,GOOD,1837.316,GOOD,111.395,GOOD,777.75,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206875,634961,2,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,-2.937,GOOD,37.673,GOOD,0,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,794,GOOD,785,GOOD,17,GOOD,802,GOOD,785,GOOD,802,GOOD,788,GOOD,97.337,GOOD,1208.116,GOOD,762.78,GOOD,100.674,GOOD,101.704,GOOD,1849.412,GOOD,111.687,GOOD,775.638,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206876,634961,3,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,4.961,GOOD,21.114,GOOD,0.215,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,795,GOOD,783,GOOD,12,GOOD,795,GOOD,783,GOOD,783,GOOD,784,GOOD,95.675,GOOD,1199.399,GOOD,751.833,GOOD,99.947,GOOD,100.244,GOOD,1817.829,GOOD,108.687,GOOD,765.888,GOOD,255,GOOD,160,150,7,80,120,120,80,80,120
171206877,634961,4,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,10.923,GOOD,8.197,GOOD,0.218,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,781,GOOD,775,GOOD,6,GOOD,781,GOOD,775,GOOD,779,GOOD,781,GOOD,95.713,GOOD,1201.215,GOOD,749.563,GOOD,100.099,GOOD,99.941,GOOD,1818.561,GOOD,107.858,GOOD,763.5,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206874,634961,1,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,8.948,GOOD,39.901,GOOD,-0.573,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,784,GOOD,777,GOOD,15,GOOD,784,GOOD,769,GOOD,783,GOOD,769,GOOD,96.809,GOOD,1200.253,GOOD,746.529,GOOD,100.019,GOOD,99.537,GOOD,1839.382,GOOD,107.044,GOOD,764.555,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
171206882,634961,4,1019,A-Vision AOI,4265B-2439(2483),kyadmin,None,None,2019-07-02 14:00,190702101300024390020_B05,Standards::08860000011,GOOD,-27.91,GOOD,12.538,GOOD,-0.212,GOOD,0,GOOD,100,GOOD,0,GOOD,100,GOOD,789,GOOD,807,GOOD,25,GOOD,814,GOOD,789,GOOD,791,GOOD,814,GOOD,96.143,GOOD,1211.131,GOOD,770.947,GOOD,100.925,GOOD,102.793,GOOD,1826.728,GOOD,112.809,GOOD,783.361,GOOD,254,GOOD,160,150,7,80,120,120,80,80,120
