회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
JS전선,5560,절연선 및 케이블 제조업,"선박선,고무선,전력선,통신선 제조",2007-11-12,12월,이익희,http://www.jscable.co.kr,충청남도
거북선2호,101380,,운송장비(선박) 임대,2008-04-25,12월,신주선,,부산광역시
거북선6호,114140,,,2009-10-01,12월,김연신,,제주특별자치도
교보메리츠,64900,,"부동산 투자,운용",2002-01-30,12월,김 상 진,,서울특별시
국제관광공사,28780,,,1966-03-18,12월,,,
굿리치경매1,85450,,부동산 임대 및 공급,2005-09-06,05월,굿앤리치자산운용,http://www.goodnrich.co.kr,서울특별시
그린손해보험,470,보험업,"손해보험(자동차,화재,해상,특종,장기보험)",1975-06-30,03월,라용규,http://www.greeninsu.com,서울특별시
극동건설,980,,"건축공사,토목공사,아파트건설,도로포장공사,플랜트설치공사,전기공사,전기통신공사/기술용역/주택 판매,빌딩 임대",1976-12-13,12월,여동진,http://www.kukdong.co.kr,서울특별시
금성산업,28930,,,1976-12-28,12월,,,
금호케미칼,14740,,,1984-05-29,12월,,,
기라정보통신,19930,,"영상음향,통신장비,인쇄회로기판(PCB,MLB) 제조/비거주용건물 임대",1999-11-18,12월,윤석재,http://www.kiraic.co.kr,경기도
나라종금,16390,재 보험업,,1988-03-05,03월,,,
뉴맥스,14080,,,1994-01-31,12월,,,
대덕GDS,4130,전자부품 제조업,"인쇄회로기판 제조,무역대리",1987-08-10,12월,"김영재, 강경식",http://www.daeduckgds.co.kr,경기도
대한종금,9030,,,1974-06-10,03월,,,
동국무역,4420,,"합섬직물,면직물,봉제품,방적업,합성수지 제조,도매,수출입",1976-07-15,12월,김수강,http://www.tongkook.co.kr,서울특별시
동부일렉트로닉스,1830,,"반도체,배선기구,전자손목시계,개폐장치 제조",1977-09-30,12월,"윤대근, 오영환",http://www.dongbuelec.co.kr,서울특별시
동북아14호선박투자,83390,,운수장비 임대,2005-08-29,12월,조용식,,부산광역시
동북아9호,83120,,운송장비 임대,2005-05-27,12월,김연신,,부산광역시
동아콘크리트공업,29230,,,1975-12-22,12월,,,
