날짜,파실 때_OIL_CL,보내실 때_OIL_CL,받으실 때_OIL_CL
2019.08.14,55.23,1.87,-3.27%
2019.08.13,57.1,2.17,+3.95%
2019.08.12,54.93,0.43,+0.78%
2019.08.09,54.5,1.96,+3.73%
2019.08.08,52.54,1.45,+2.83%
2019.08.07,51.09,2.54,-4.73%
2019.08.06,53.63,1.06,-1.93%
2019.08.05,54.69,0.97,-1.74%
2019.08.02,55.66,1.71,+3.16%
2019.08.01,53.95,4.63,-7.90%
2019.07.31,58.58,0.53,+0.91%
2019.07.30,58.05,1.18,+2.07%
2019.07.29,56.87,0.67,+1.19%
2019.07.26,56.2,0.18,+0.32%
2019.07.25,56.02,0.14,+0.25%
2019.07.24,55.88,0.89,-1.56%
2019.07.23,56.77,0.55,+0.97%
2019.07.22,56.22,0.46,+0.82%
2019.07.19,55.63,0.33,+0.59%
2019.07.18,55.3,1.48,-2.60%
2019.07.17,56.78,0.84,-1.45%
2019.07.16,57.62,1.96,-3.28%
2019.07.15,59.58,0.63,-1.04%
2019.07.12,60.21,0.01,+0.01%
2019.07.11,60.2,0.23,-0.38%
2019.07.10,60.43,2.6,+4.49%
2019.07.09,57.83,0.17,+0.29%
2019.07.08,57.66,0.15,+0.26%
2019.07.05,57.51,0.17,+0.29%
2019.07.03,57.34,1.09,+1.93%
2019.07.02,56.25,2.84,-4.80%
2019.07.01,59.09,0.62,+1.06%
2019.06.28,58.47,0.96,-1.61%
2019.06.27,59.43,0.05,+0.08%
2019.06.26,59.38,1.55,+2.68%
2019.06.25,57.83,0.07,-0.12%
2019.06.24,57.9,0.47,+0.81%
2019.06.21,57.43,0.36,+0.63%
2019.06.20,57.07,3.1,+5.74%
2019.06.19,53.76,0.14,-0.25%
2019.06.18,53.9,1.97,+3.79%
2019.06.17,51.93,0.58,-1.10%
2019.06.14,52.51,0.23,+0.43%
2019.06.13,52.28,1.14,+2.22%
2019.06.12,51.14,2.13,-3.99%
2019.06.11,53.27,0.01,+0.01%
2019.06.10,53.26,0.73,-1.35%
2019.06.07,53.99,1.4,+2.66%
2019.06.06,52.59,0.91,+1.76%
2019.06.05,51.68,1.8,-3.36%
2019.06.04,53.48,0.23,+0.43%
2019.06.03,53.25,0.25,-0.46%
2019.05.31,53.5,3.09,-5.46%
2019.05.30,56.59,2.22,-3.77%
2019.05.29,58.81,0.33,-0.55%
2019.05.28,59.14,0.51,+0.86%
2019.05.24,58.63,0.72,+1.24%
2019.05.23,57.91,3.51,-5.71%
2019.05.22,61.42,1.71,-2.70%
2019.05.21,63.13,0.08,-0.12%
2019.05.20,63.1,0.34,+0.54%
2019.05.17,62.76,0.11,-0.17%
2019.05.16,62.87,0.85,+1.37%
2019.05.15,62.02,0.24,+0.38%
2019.05.14,61.78,0.74,+1.21%
2019.05.13,61.04,0.62,-1.00%
2019.05.10,61.66,0.04,-0.06%
2019.05.09,61.7,0.42,-0.67%
2019.05.08,62.12,0.72,+1.17%
2019.05.07,61.4,0.85,-1.36%
2019.05.06,62.25,0.31,+0.50%
2019.05.03,61.94,0.13,+0.21%
2019.05.02,61.81,1.79,-2.81%
2019.05.01,63.6,0.31,-0.48%
2019.04.30,63.91,0.41,+0.64%
2019.04.29,63.5,0.2,+0.31%
2019.04.26,63.3,1.91,-2.92%
2019.04.25,65.21,0.68,-1.03%
2019.04.24,65.89,0.41,-0.61%
2019.04.23,66.3,0.75,+1.14%
2019.04.22,65.55,1.48,+2.31%
2019.04.18,64.0,0.24,+0.37%
2019.04.17,63.76,0.29,-0.45%
2019.04.16,64.05,0.65,+1.02%
2019.04.15,63.4,0.49,-0.76%
2019.04.12,63.89,0.31,+0.48%
2019.04.11,63.58,1.03,-1.59%
2019.04.10,64.61,0.63,+0.98%
2019.04.09,63.98,0.42,-0.65%
2019.04.08,64.4,1.32,+2.09%
2019.04.05,63.08,0.98,+1.57%
2019.04.04,62.1,0.36,-0.57%
2019.04.03,62.46,0.12,-0.19%
2019.04.02,62.58,0.99,+1.60%
2019.04.01,61.59,1.45,+2.41%
