날짜,체결가_KOSPI,전일비_KOSPI,등락률_KOSPI,거래량(천주)_KOSPI,거래대금(백만)_KOSPI,체결가_KOSDAQ,전일비_KOSDAQ,등락률_KOSDAQ,거래량(천주)_KOSDAQ,거래대금(백만)_KOSDAQ,체결가_KPI200,전일비_KPI200,등락률_KPI200,거래량(천주)_KPI200,거래대금(백만)_KPI200
2019.08.16,1923.25,15.12,-0.78%,264519.0,2453817.0,590.7,6.45,-1.08%,437483.0,2322189.0,253.43,1.43,-0.56%,40870.0,1533870.0
2019.08.14,1938.37,12.54,+0.65%,699585.0,5076486.0,597.15,6.4,+1.08%,793565.0,4105968.0,254.86,2.03,+0.80%,82238.0,3276640.0
2019.08.13,1925.83,16.46,-0.85%,660040.0,4340208.0,590.75,3.42,-0.58%,755896.0,3792005.0,252.83,2.52,-0.99%,76819.0,2897599.0
2019.08.12,1942.29,4.54,+0.23%,427140.0,3997754.0,594.17,4.13,+0.70%,707419.0,3440960.0,255.35,0.5,+0.20%,69377.0,2573099.0
2019.08.09,1937.75,17.14,+0.89%,654344.0,5051265.0,590.04,4.6,+0.79%,690855.0,4157334.0,254.85,2.45,+0.97%,117692.0,3460645.0
2019.08.08,1920.61,10.9,+0.57%,777165.0,6769546.0,585.44,20.8,+3.68%,929189.0,4831848.0,252.4,0.4,+0.16%,163707.0,5065805.0
2019.08.07,1909.71,7.79,-0.41%,760777.0,5373398.0,564.64,13.14,+2.38%,835978.0,4843612.0,252.0,1.41,-0.56%,90744.0,3400475.0
2019.08.06,1917.5,29.48,-1.51%,739588.0,7179083.0,551.5,18.29,-3.21%,973681.0,5611504.0,253.41,3.78,-1.47%,123167.0,4868704.0
2019.08.05,1946.98,51.15,-2.56%,639603.0,6599770.0,569.79,45.91,-7.46%,821183.0,4773105.0,257.19,5.8,-2.21%,131042.0,4581363.0
2019.08.02,1998.13,19.21,-0.95%,438538.0,5338221.0,615.7,6.56,-1.05%,601247.0,3703940.0,262.99,2.74,-1.03%,99663.0,3879296.0
2019.08.01,2017.34,7.21,-0.36%,461743.0,4443149.0,622.26,7.92,-1.26%,694237.0,4161131.0,265.73,0.61,-0.23%,72578.0,2900144.0
2019.07.31,2024.55,14.13,-0.69%,589386.0,5532912.0,630.18,4.54,+0.73%,770559.0,4228756.0,266.34,2.61,-0.97%,96236.0,3821854.0
2019.07.30,2038.68,9.2,+0.45%,547029.0,3877489.0,625.64,6.86,+1.11%,716177.0,3566194.0,268.95,1.2,+0.45%,64529.0,2363742.0
2019.07.29,2029.48,36.78,-1.78%,608670.0,4681216.0,618.78,25.81,-4.00%,795264.0,3783791.0,267.75,4.5,-1.65%,78754.0,2825170.0
2019.07.26,2066.26,8.22,-0.40%,583332.0,5056450.0,644.59,7.81,-1.20%,870552.0,3896380.0,272.25,0.79,-0.29%,88517.0,3404986.0
2019.07.25,2074.48,7.82,-0.38%,590890.0,5126430.0,652.4,7.43,-1.13%,856206.0,4105781.0,273.04,0.18,-0.07%,94460.0,3835185.0
2019.07.24,2082.3,19.15,-0.91%,841580.0,4115461.0,659.83,8.82,-1.32%,955261.0,4915984.0,273.22,2.7,-0.98%,82752.0,2919409.0
2019.07.23,2101.45,8.11,+0.39%,640162.0,4523644.0,668.65,6.13,-0.91%,884196.0,4534091.0,275.92,1.37,+0.50%,93952.0,3219043.0
2019.07.22,2093.34,1.02,-0.05%,320412.0,3156360.0,674.78,0.72,+0.11%,634148.0,3312898.0,274.55,0.0,0.00%,59881.0,2340357.0
2019.07.19,2094.36,27.81,+1.35%,386118.0,4037112.0,674.06,8.91,+1.34%,743055.0,3886505.0,274.55,3.88,+1.43%,85702.0,2956076.0
2019.07.18,2066.55,6.37,-0.31%,437178.0,3848957.0,665.15,1.13,-0.17%,824342.0,4207088.0,270.67,0.81,-0.30%,78649.0,2607494.0
2019.07.17,2072.92,18.95,-0.91%,752119.0,4549215.0,666.28,8.14,-1.21%,887319.0,4149075.0,271.48,2.57,-0.94%,115622.0,3031700.0
2019.07.16,2091.87,9.39,+0.45%,674500.0,5158374.0,674.42,0.37,-0.05%,811124.0,4528508.0,274.05,1.41,+0.52%,134388.0,3589437.0
2019.07.15,2082.48,4.18,-0.20%,455075.0,3656611.0,674.79,6.38,-0.94%,705069.0,4146102.0,272.64,0.04,-0.01%,82080.0,2560620.0
2019.07.12,2086.66,6.08,+0.29%,398353.0,3714594.0,681.17,4.08,+0.60%,725252.0,4079424.0,272.68,0.9,+0.33%,54810.0,2446249.0
2019.07.11,2080.58,21.8,+1.06%,368242.0,4934006.0,677.09,10.19,+1.53%,775167.0,4077292.0,271.78,3.03,+1.13%,104926.0,3844891.0
2019.07.10,2058.78,6.75,+0.33%,350018.0,3867014.0,666.9,9.1,+1.38%,761788.0,3791055.0,268.75,1.03,+0.38%,66266.0,2805302.0
