날짜,매매기준율_,전일대비_,실물 거래_,실물 거래.1_,계좌 거래_,계좌 거래.1_,기준 국제 금 시세_,기준 원달러 환율_
날짜,매매기준율,전일대비,사실 때,파실 때,입금 시,해지 시,기준 국제 금 시세,기준 원달러 환율
2019.08.14,58573.80,1325.19,61502.49,55645.11,59159.53,57988.07,1500.85,1214.00
2019.08.13,59898.99,993.48,62893.93,56904.05,60497.97,59300.01,1523.51,1223.00
2019.08.12,58905.51,399.31,61850.78,55960.24,59494.56,58316.46,1502.54,1219.50
2019.08.09,58506.20,314.74,61431.51,55580.89,59091.26,57921.14,1502.83,1211.00
2019.08.08,58191.46,82.17,61101.03,55281.89,58773.37,57609.55,1496.60,1209.50
2019.08.07,58109.29,943.18,61014.75,55203.83,58690.38,57528.20,1487.11,1215.50
2019.08.06,57166.11,226.35,60024.41,54307.81,57737.77,56594.45,1462.37,1216.00
2019.08.05,56939.76,1494.19,59786.74,54092.78,57509.15,56370.37,1457.78,1215.00
2019.08.02,55445.57,1762.33,58217.84,52673.30,56000.02,54891.12,1436.67,1200.50
2019.08.01,53683.24,725.18,56367.40,50999.08,54220.07,53146.41,1405.05,1188.50
2019.07.31,54408.42,225.18,57128.84,51688.00,54952.50,53864.34,1430.65,1183.00
2019.07.30,54183.24,133.14,56892.40,51474.08,54725.07,53641.41,1426.54,1181.50
2019.07.29,54050.10,65.80,56752.60,51347.60,54590.60,53509.60,1418.83,1185.00
2019.07.26,53984.30,204.25,56683.51,51285.09,54524.14,53444.46,1417.70,1184.50
2019.07.25,54188.55,208.94,56897.97,51479.13,54730.43,53646.67,1426.68,1181.50
2019.07.24,53979.61,230.89,56678.59,51280.63,54519.40,53439.82,1425.40,1178.00
2019.07.23,53748.72,221.64,56436.15,51061.29,54286.20,53211.24,1418.10,1179.00
2019.07.22,53970.36,444.48,56668.87,51271.85,54510.06,53430.66,1425.76,1177.50
2019.07.19,54414.84,540.42,57135.58,51694.10,54958.98,53870.70,1439.95,1175.50
2019.07.18,53874.42,596.69,56568.14,51180.70,54413.16,53335.68,1422.02,1178.50
2019.07.17,53277.73,310.67,55941.61,50613.85,53810.50,52744.96,1402.70,1181.50
2019.07.16,53588.40,152.81,56267.82,50908.98,54124.28,53052.52,1414.47,1178.50
2019.07.15,53741.21,331.68,56428.27,51054.15,54278.62,53203.80,1416.70,1180.00
2019.07.12,53409.53,320.34,56080.00,50739.06,53943.62,52875.44,1409.15,1179.00
2019.07.11,53729.87,810.68,56416.36,51043.38,54267.16,53192.58,1423.64,1174.00
2019.07.10,52919.19,122.66,55565.14,50273.24,53448.38,52390.00,1393.85,1181.00
2019.07.09,52796.53,583.96,55436.35,50156.71,53324.49,52268.57,1387.68,1183.50
2019.07.08,53380.49,119.06,56049.51,50711.47,53914.29,52846.69,1406.00,1181.00
2019.07.05,53261.43,138.16,55924.50,50598.36,53794.04,52728.82,1414.24,1171.50
2019.07.04,53123.27,478.06,55779.43,50467.11,53654.50,52592.04,1412.38,1170.00
2019.07.03,53601.33,1300.13,56281.39,50921.27,54137.34,53065.32,1425.09,1170.00
2019.07.02,52301.20,396.04,54916.26,49686.14,52824.21,51778.19,1393.50,1167.50
2019.07.01,51905.16,642.94,54500.41,49309.91,52424.21,51386.11,1388.30,1163.00
2019.06.28,52548.10,348.44,55175.50,49920.70,53073.58,52022.62,1414.62,1155.50
2019.06.27,52199.66,286.14,54809.64,49589.68,52721.65,51677.67,1402.81,1157.50
2019.06.26,52485.80,713.43,55110.09,49861.51,53010.65,51960.95,1410.50,1157.50
2019.06.25,53199.23,875.46,55859.19,50539.27,53731.22,52667.24,1430.91,1156.50
2019.06.24,52323.77,307.42,54939.95,49707.59,52847.00,51800.54,1405.54,1158.00
2019.06.21,52016.35,476.07,54617.16,49415.54,52536.51,51496.19,1389.48,1164.50
2019.06.20,51540.28,783.01,54117.29,48963.27,52055.68,51024.88,1380.32,1161.50
2019.06.19,50757.27,573.05,53295.13,48219.41,51264.84,50249.70,1342.02,1176.50
2019.06.18,51330.32,416.92,53896.83,48763.81,51843.62,50817.02,1346.30,1186.00
2019.06.17,50913.40,692.96,53459.07,48367.73,51422.53,50404.27,1334.24,1187.00
2019.06.14,51606.36,746.04,54186.67,49026.05,52122.42,51090.30,1354.11,1185.50
2019.06.13,50860.32,8.92,53403.33,48317.31,51368.92,50351.72,1336.79,1183.50
2019.06.12,50869.24,647.10,53412.70,48325.78,51377.93,50360.55,1337.59,1183.00
2019.06.11,50222.14,422.64,52733.24,47711.04,50724.36,49719.92,1322.25,1181.50
2019.06.10,50644.78,273.63,53177.01,48112.55,51151.22,50138.34,1327.20,1187.00
2019.06.07,50918.41,396.96,53464.33,48372.49,51427.59,50409.23,1336.06,1185.50
2019.06.05,50521.45,132.16,53047.52,47995.38,51026.66,50016.24,1332.95,1179.00
2019.06.04,50389.29,423.11,52908.75,47869.83,50893.18,49885.40,1324.41,1183.50
2019.06.03,49966.18,360.82,52464.48,47467.88,50465.84,49466.52,1314.40,1182.50
2019.05.31,49605.36,694.17,52085.62,47125.10,50101.41,49109.31,1295.05,1191.50
2019.05.30,48911.19,427.57,51356.74,46465.64,49400.30,48422.08,1276.93,1191.50
2019.05.29,49338.76,206.70,51805.69,46871.83,49832.14,48845.38,1283.78,1195.50
2019.05.28,49132.06,118.39,51588.66,46675.46,49623.38,48640.74,1284.85,1189.50
2019.05.27,49013.67,32.26,51464.35,46562.99,49503.80,48523.54,1286.08,1185.50
2019.05.24,48981.41,83.31,51430.48,46532.34,49471.22,48491.60,1281.99,1188.50
2019.05.23,48898.10,101.16,51343.00,46453.20,49387.08,48409.12,1276.05,1192.00
2019.05.22,48796.94,238.70,51236.78,46357.10,49284.90,48308.98,1274.48,1191.00
2019.05.21,49035.64,56.41,51487.42,46583.86,49525.99,48545.29,1275.36,1196.00
2019.05.20,48979.23,482.91,51428.19,46530.27,49469.02,48489.44,1274.96,1195.00
2019.05.17,49462.14,121.71,51935.24,46989.04,49956.76,48967.52,1286.99,1195.50
2019.05.16,49583.85,110.07,52063.04,47104.66,50079.68,49088.02,1296.12,1190.00
2019.05.15,49693.92,107.03,52178.61,47209.23,50190.85,49196.99,1299.00,1190.00
2019.05.14,49586.89,580.66,52066.23,47107.55,50082.75,49091.03,1297.29,1189.00
2019.05.13,49006.23,339.75,51456.54,46555.92,49496.29,48516.17,1283.72,1187.50
2019.05.10,48666.48,176.45,51099.80,46233.16,49153.14,48179.82,1285.10,1178.00
2019.05.09,48842.93,409.86,51285.07,46400.79,49331.35,48354.51,1284.85,1182.50
2019.05.08,48433.07,278.48,50854.72,46011.42,48917.40,47948.74,1287.13,1170.50
2019.05.07,48154.59,357.46,50562.31,45746.87,48636.13,47673.05,1281.92,1168.50
2019.05.03,47797.13,182.14,50186.98,45407.28,48275.10,47319.16,1270.23,1170.50
2019.05.02,47614.99,543.02,49995.73,45234.25,48091.13,47138.85,1270.82,1165.50
2019.04.30,48158.01,317.09,50565.91,45750.11,48639.59,47676.43,1283.66,1167.00
2019.04.29,47840.92,1.85,50232.96,45448.88,48319.32,47362.52,1282.35,1160.50
2019.04.26,47842.77,20.83,50234.90,45450.64,48321.19,47364.35,1282.40,1160.50
2019.04.25,47821.94,714.37,50213.03,45430.85,48300.15,47343.73,1277.44,1164.50
2019.04.24,47107.57,330.76,49462.94,44752.20,47578.64,46636.50,1273.67,1150.50
2019.04.23,46776.81,161.90,49115.65,44437.97,47244.57,46309.05,1273.58,1142.50
2019.04.22,46938.71,341.07,49285.64,44591.78,47408.09,46469.33,1279.11,1141.50
2019.04.19,46597.64,83.01,48927.52,44267.76,47063.61,46131.67,1275.40,1136.50
2019.04.18,46680.65,167.48,49014.68,44346.62,47147.45,46213.85,1275.99,1138.00
2019.04.17,46513.17,398.86,48838.82,44187.52,46978.30,46048.04,1276.46,1133.50
2019.04.16,46912.03,54.78,49257.63,44566.43,47381.15,46442.91,1284.57,1136.00
2019.04.15,46857.25,460.33,49200.11,44514.39,47325.82,46388.68,1286.47,1133.00
2019.04.12,47317.58,508.27,49683.45,44951.71,47790.75,46844.41,1293.40,1138.00
2019.04.11,47825.85,41.15,50217.14,45434.56,48304.10,47347.60,1305.00,1140.00
2019.04.10,47784.70,47.09,50173.93,45395.47,48262.54,47306.86,1304.45,1139.50
2019.04.09,47737.61,48.53,50124.49,45350.73,48214.98,47260.24,1301.45,1141.00
