날짜,파실 때_CMDT_GC,보내실 때_CMDT_GC,받으실 때_CMDT_GC
2019.08.14,1515.9,13.7,+0.91%
2019.08.13,1502.2,3.1,-0.20%
2019.08.12,1505.3,8.7,+0.58%
2019.08.09,1496.6,1.1,-0.07%
2019.08.08,1497.7,9.6,-0.63%
2019.08.07,1507.3,34.9,+2.37%
2019.08.06,1472.4,7.8,+0.53%
2019.08.05,1464.6,19.0,+1.31%
2019.08.02,1445.6,24.7,+1.73%
2019.08.01,1420.9,5.2,-0.36%
2019.07.31,1426.1,3.6,-0.25%
2019.07.30,1429.7,9.3,+0.65%
2019.07.29,1420.4,1.1,+0.07%
2019.07.26,1418.5,4.6,+0.32%
2019.07.25,1413.9,8.9,-0.62%
2019.07.24,1422.8,2.7,+0.19%
2019.07.23,1420.1,5.2,-0.36%
2019.07.22,1425.3,0.2,+0.01%
2019.07.19,1425.1,1.0,-0.07%
2019.07.18,1426.1,4.8,+0.33%
2019.07.17,1421.3,12.1,+0.85%
2019.07.16,1409.2,2.2,-0.15%
2019.07.15,1411.4,1.5,+0.10%
2019.07.12,1409.9,5.6,+0.39%
2019.07.11,1404.3,5.8,-0.41%
2019.07.10,1410.1,12.6,+0.90%
2019.07.09,1397.5,0.5,+0.03%
2019.07.08,1397.0,0.3,+0.02%
2019.07.05,1396.7,21.0,-1.48%
2019.07.03,1417.7,13.1,+0.93%
2019.07.02,1404.6,19.0,+1.37%
2019.07.01,1385.6,24.1,-1.70%
2019.06.28,1409.7,1.3,+0.09%
2019.06.27,1408.4,3.1,-0.21%
2019.06.26,1411.5,4.3,-0.30%
2019.06.25,1415.8,0.6,+0.04%
2019.06.24,1414.3,18.1,+1.29%
2019.06.21,1396.2,3.3,+0.23%
2019.06.20,1392.9,48.3,+3.59%
2019.06.19,1344.6,2.0,-0.14%
2019.06.18,1346.6,7.9,+0.59%
2019.06.17,1338.7,1.4,-0.10%
2019.06.14,1340.1,0.9,+0.06%
2019.06.13,1339.2,7.3,+0.54%
2019.06.12,1331.9,5.5,+0.41%
2019.06.11,1326.4,1.7,+0.12%
2019.06.10,1324.7,16.5,-1.23%
2019.06.07,1341.2,3.6,+0.26%
2019.06.06,1337.6,9.3,+0.70%
2019.06.05,1328.3,4.9,+0.37%
2019.06.04,1323.4,0.7,+0.05%
2019.06.03,1322.7,16.9,+1.29%
2019.05.31,1305.8,18.7,+1.45%
2019.05.30,1287.1,6.1,+0.47%
2019.05.29,1281.0,3.9,+0.30%
2019.05.28,1276.5,6.5,-0.50%
2019.05.24,1283.0,1.8,-0.14%
2019.05.23,1284.8,11.2,+0.87%
2019.05.22,1273.6,1.6,+0.12%
2019.05.21,1272.0,4.1,-0.32%
2019.05.20,1276.1,1.6,+0.12%
2019.05.17,1274.5,10.5,-0.81%
2019.05.16,1285.0,11.3,-0.87%
2019.05.15,1296.3,1.6,+0.12%
2019.05.14,1294.7,5.4,-0.41%
2019.05.13,1300.1,14.4,+1.12%
2019.05.10,1285.7,2.2,+0.17%
2019.05.09,1283.5,4.1,+0.32%
2019.05.08,1279.4,4.1,-0.31%
2019.05.07,1283.5,1.8,+0.14%
2019.05.06,1281.7,2.5,+0.19%
2019.05.03,1279.2,9.5,+0.74%
2019.05.02,1269.7,11.7,-0.91%
2019.05.01,1281.4,1.4,-0.10%
2019.04.30,1282.8,4.2,+0.32%
2019.04.29,1278.6,6.9,-0.53%
2019.04.26,1285.5,9.1,+0.71%
2019.04.25,1276.4,0.2,-0.01%
2019.04.24,1275.5,6.2,+0.48%
2019.04.23,1269.3,4.2,-0.32%
2019.04.22,1273.5,1.6,+0.12%
2019.04.18,1271.9,0.3,-0.02%
2019.04.17,1272.2,0.4,-0.03%
2019.04.16,1272.6,14.2,-1.10%
2019.04.15,1286.8,3.8,-0.29%
2019.04.12,1290.6,2.0,+0.15%
2019.04.11,1288.6,20.5,-1.56%
2019.04.10,1309.1,5.6,+0.42%
2019.04.09,1303.5,6.4,+0.49%
2019.04.08,1297.1,6.7,+0.51%
2019.04.05,1290.4,1.4,+0.10%
2019.04.04,1289.0,0.9,-0.06%
2019.04.03,1289.9,0.1,0.00%
2019.04.02,1290.0,1.6,+0.12%
2019.04.01,1288.4,4.6,-0.35%
2019.03.29,1293.0,3.2,+0.24%
2019.03.28,1289.8,20.6,-1.57%
2019.03.27,1310.4,4.6,-0.34%
2019.03.26,1315.0,7.6,-0.57%
2019.03.25,1321.9,10.3,+0.78%
2019.03.22,1311.6,5.5,+0.42%
2019.03.21,1306.1,5.6,+0.43%
2019.03.20,1300.5,4.5,-0.34%
2019.03.19,1305.0,4.7,+0.36%
2019.03.18,1300.3,1.5,-0.11%
2019.03.15,1301.8,8.4,+0.64%
2019.03.14,1293.4,14.1,-1.07%
2019.03.13,1307.5,11.2,+0.86%
2019.03.12,1296.3,7.5,+0.58%
2019.03.11,1288.8,8.2,-0.63%
2019.03.08,1297.0,13.2,+1.02%
2019.03.07,1283.8,1.1,-0.08%
2019.03.06,1284.9,2.9,+0.22%
2019.03.05,1282.0,2.8,-0.21%
2019.03.04,1284.8,11.6,-0.89%
