,종가_DJI@DJI,전일비_DJI@DJI,gvol_DJI@DJI,고가_DJI@DJI,저가_DJI@DJI,시가_DJI@DJI,rate_DJI@DJI,symb_DJI@DJI,종가_NII@NI225,전일비_NII@NI225,gvol_NII@NI225,고가_NII@NI225,저가_NII@NI225,시가_NII@NI225,rate_NII@NI225,symb_NII@NI225,종가_LNS@FTSE100,전일비_LNS@FTSE100,gvol_LNS@FTSE100,고가_LNS@FTSE100,저가_LNS@FTSE100,시가_LNS@FTSE100,rate_LNS@FTSE100,symb_LNS@FTSE100,종가_NAS@IXIC,전일비_NAS@IXIC,gvol_NAS@IXIC,고가_NAS@IXIC,저가_NAS@IXIC,시가_NAS@IXIC,rate_NAS@IXIC,symb_NAS@IXIC,종가_SHS@000001,전일비_SHS@000001,gvol_SHS@000001,고가_SHS@000001,저가_SHS@000001,시가_SHS@000001,rate_SHS@000001,symb_SHS@000001,종가_PAS@CAC40,전일비_PAS@CAC40,gvol_PAS@CAC40,고가_PAS@CAC40,저가_PAS@CAC40,시가_PAS@CAC40,rate_PAS@CAC40,symb_PAS@CAC40,종가_SPI@SPX,전일비_SPI@SPX,gvol_SPI@SPX,고가_SPI@SPX,저가_SPI@SPX,시가_SPI@SPX,rate_SPI@SPX,symb_SPI@SPX,종가_HSI@HSI,전일비_HSI@HSI,gvol_HSI@HSI,고가_HSI@HSI,저가_HSI@HSI,시가_HSI@HSI,rate_HSI@HSI,symb_HSI@HSI,종가_XTR@DAX30,전일비_XTR@DAX30,gvol_XTR@DAX30,고가_XTR@DAX30,저가_XTR@DAX30,시가_XTR@DAX30,rate_XTR@DAX30,symb_XTR@DAX30
20190814,25479.42,-800.49,357003312.0,26035.08,25471.59,26035.08,-3.05,DJI@DJI,20655.13,199.69,60956500.0,20697.42,20581.17,20669.99,0.98,NII@NI225,7147.88,-103.02,811517687.0,7268.73,7112.05,7250.9,-1.42,LNS@FTSE100,7773.94,-242.42,251995686.0,7900.28,7762.87,7877.33,-3.02,NAS@IXIC,2808.92,11.655,14401500000.0,2829.89,2807.72,2824.49,0.42,SHS@000001,5251.3,-111.77,97168495.0,5367.54,5233.86,5367.54,-2.08,PAS@CAC40,2840.6,-85.72,2543385220.0,2894.15,2839.64,2894.15,-2.93,SPI@SPX,25302.28,20.98,1915522853.0,25717.98,25197.38,25711.1,0.08,HSI@HSI,11492.66,-257.47,106028914.0,11759.57,11459.37,11758.75,-2.19,XTR@DAX30
20190813,26279.91,372.54,309613241.0,26426.97,25833.25,25888.88,1.44,DJI@DJI,20455.44,-229.38,72962600.0,20503.38,20369.27,20432.68,-1.11,NII@NI225,7250.9,24.18,698409579.0,7281.14,7166.86,7226.72,0.33,LNS@FTSE100,8016.36,152.95,233720429.0,8065.24,7851.59,7863.41,1.95,NAS@IXIC,2797.26,-17.735,13091700000.0,2802.04,2790.61,2798.05,-0.63,SHS@000001,5363.07,52.77,99386943.0,5402.99,5268.47,5292.94,0.99,PAS@CAC40,2926.32,42.57,2129331310.0,2943.31,2877.05,2880.72,1.48,SPI@SPX,25281.3,-543.42,1979089845.0,25616.71,25270.91,25536.62,-2.1,HSI@HSI,11750.13,70.45,116609371.0,11835.88,11539.63,11632.85,0.6,XTR@DAX30
20190812,25907.37,-380.07,200584203.0,26178.95,25824.94,26169.91,-1.45,DJI@DJI,,,,,,,,,7226.72,-27.13,585461202.0,7305.56,7207.46,7253.85,-0.37,LNS@FTSE100,7863.41,-95.73,204448676.0,7924.99,7833.79,7907.49,-1.2,NAS@IXIC,2815.0,40.242,13156300000.0,2815.0,2776.62,2781.98,1.45,SHS@000001,5310.31,-17.61,60267426.0,5386.46,5293.76,5362.39,-0.33,PAS@CAC40,2883.75,-34.9,1440439050.0,2907.58,2873.14,2907.07,-1.2,SPI@SPX,25824.72,-114.58,1200393591.0,26069.23,25824.72,25869.48,-0.44,HSI@HSI,11679.68,-14.12,76120871.0,11836.97,11647.01,11801.06,-0.12,XTR@DAX30
20190809,26287.44,-90.75,241933511.0,26413.36,26097.64,26337.09,-0.34,DJI@DJI,20684.82,91.47,65731100.0,20782.06,20676.92,20758.15,0.44,NII@NI225,7253.85,-32.05,819388896.0,7297.28,7237.13,7285.9,-0.44,LNS@FTSE100,7959.14,-80.02,220997054.0,8020.56,7910.35,7997.19,-1.0,NAS@IXIC,2774.75,-19.799,14824000000.0,2808.33,2770.48,2805.59,-0.71,SHS@000001,5327.92,-60.03,73296802.0,5374.9,5317.91,5368.84,-1.11,PAS@CAC40,2918.65,-19.44,1888617140.0,2935.75,2900.15,2930.51,-0.66,SPI@SPX,25939.3,-181.47,1399605103.0,26313.78,25939.3,26278.92,-0.69,HSI@HSI,11693.8,-151.61,110487677.0,11865.63,11674.11,11806.82,-1.28,XTR@DAX30
20190808,26378.19,371.12,283591730.0,26383.61,26038.1,26086.52,1.43,DJI@DJI,20593.35,76.79,66817300.0,20682.24,20462.98,20529.29,0.37,NII@NI225,7285.9,87.2,748516054.0,7285.9,7191.25,7198.7,1.21,LNS@FTSE100,8039.16,176.33,242348707.0,8041.12,7896.15,7921.59,2.24,NAS@IXIC,2794.55,25.872,14954000000.0,2799.69,2782.25,2784.18,0.93,SHS@000001,5387.96,121.45,81700604.0,5387.96,5305.86,5333.18,2.31,PAS@CAC40,2938.09,54.11,2209464230.0,2938.72,2894.47,2896.21,1.88,SPI@SPX,26120.77,123.74,1709412335.0,26317.42,25999.45,25999.45,0.48,HSI@HSI,11845.41,195.26,104281793.0,11845.41,11683.99,11752.96,1.68,XTR@DAX30
20190807,26007.07,-22.45,350086694.0,26073.21,25440.39,25814.22,-0.09,DJI@DJI,20516.56,-68.75,75891700.0,20570.19,20406.52,20548.07,-0.33,NII@NI225,7198.7,27.01,758267258.0,7237.88,7153.89,7171.69,0.38,LNS@FTSE100,7862.82,29.55,245262820.0,7881.38,7702.42,7747.27,0.38,NAS@IXIC,2768.68,-8.876,15771700000.0,2792.69,2768.68,2789.02,-0.32,SHS@000001,5266.51,31.86,92199128.0,5312.31,5226.39,5252.73,0.61,PAS@CAC40,2883.98,2.21,2360893680.0,2892.17,2825.71,2858.65,0.08,SPI@SPX,25997.03,20.79,1723025751.0,26025.44,25738.8,25977.72,0.08,HSI@HSI,11650.15,82.19,112195161.0,11747.74,11559.76,11636.34,0.71,XTR@DAX30
20190806,26029.52,311.78,322972533.0,26038.68,25710.87,25810.62,1.21,DJI@DJI,20585.31,-134.98,92722100.0,20607.83,20110.76,20325.52,-0.65,NII@NI225,7171.69,-52.16,816237798.0,7241.57,7166.98,7223.85,-0.72,LNS@FTSE100,7833.27,107.23,219796607.0,7845.01,7739.57,7804.51,1.39,NAS@IXIC,2777.56,-43.94,23112400000.0,2787.42,2733.92,2776.99,-1.56,SHS@000001,5234.65,-6.89,90983337.0,5297.45,5234.65,5245.52,-0.13,PAS@CAC40,2881.77,37.03,2177203740.0,2884.4,2847.42,2861.18,1.3,SPI@SPX,25976.24,-175.08,2836976290.0,26042.23,25397.35,25472.43,-0.67,HSI@HSI,11567.96,-90.55,88886937.0,11748.83,11567.96,11690.27,-0.78,XTR@DAX30
20190805,25717.74,-767.27,423371149.0,26259.23,25523.38,26259.23,-2.9,DJI@DJI,20720.29,-366.87,88712400.0,20941.83,20514.19,20909.98,-1.74,NII@NI225,7223.85,-183.21,1281943169.0,7407.06,7200.54,7407.06,-2.47,LNS@FTSE100,7726.04,-278.03,263665362.0,7836.45,7662.9,7823.33,-3.47,NAS@IXIC,2821.5,-46.342,16741900000.0,2863.69,2821.5,2854.58,-1.62,SHS@000001,5241.55,-117.45,108781243.0,5315.6,5230.46,5307.26,-2.19,PAS@CAC40,2844.74,-87.31,2614970780.0,2898.07,2822.12,2898.07,-2.98,SPI@SPX,26151.32,-767.26,2186335375.0,26502.61,26086.86,26480.47,-2.85,HSI@HSI,11658.51,-213.93,117303384.0,11797.52,11628.57,11758.44,-1.8,XTR@DAX30
20190802,26485.01,-98.41,335720547.0,26570.02,26249.22,26528.66,-0.37,DJI@DJI,21087.16,-453.83,94727200.0,21211.06,20960.09,21211.06,-2.11,NII@NI225,7407.06,-177.81,1063497120.0,7585.24,7397.91,7584.87,-2.34,LNS@FTSE100,8004.07,-107.05,225415304.0,8068.8,7953.67,8056.42,-1.32,NAS@IXIC,2867.84,-40.928,18488800000.0,2872.47,2851.44,2861.33,-1.41,SHS@000001,5359.0,-198.41,135043524.0,5455.13,5350.76,5427.55,-3.57,PAS@CAC40,2932.05,-21.51,2210278480.0,2945.5,2914.11,2943.9,-0.73,SPI@SPX,26918.58,-647.12,2389287782.0,27043.46,26868.96,26950.53,-2.35,HSI@HSI,11872.44,-380.71,142967371.0,12034.91,11836.75,12033.68,-3.11,XTR@DAX30
20190815,,,,,,,,,20405.65,-249.48,68392100.0,20419.88,20184.85,20324.25,-1.21,NII@NI225,,,,,,,,,,,,,,,,,2815.8,6.883,15277200000.0,2815.9,2756.83,2762.34,0.25,SHS@000001,,,,,,,,,,,,,,,,,25495.46,193.18,2145864637.0,25552.13,24899.93,24945.74,0.76,HSI@HSI,,,,,,,,
20190801,,,,,,,,,21540.99,19.46,79746100.0,21556.69,21288.9,21361.58,0.09,NII@NI225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190814,25479.42,-800.49,357003312.0,26035.08,25471.59,26035.08,-3.05,DJI@DJI,20655.13,199.69,60956500.0,20697.42,20581.17,20669.99,0.98,NII@NI225,7147.88,-103.02,811517687.0,7268.73,7112.05,7250.9,-1.42,LNS@FTSE100,7773.94,-242.42,251995686.0,7900.28,7762.87,7877.33,-3.02,NAS@IXIC,2808.92,11.655,14401500000.0,2829.89,2807.72,2824.49,0.42,SHS@000001,5251.3,-111.77,97168495.0,5367.54,5233.86,5367.54,-2.08,PAS@CAC40,2840.6,-85.72,2543385220.0,2894.15,2839.64,2894.15,-2.93,SPI@SPX,25302.28,20.98,1915522853.0,25717.98,25197.38,25711.1,0.08,HSI@HSI,11492.66,-257.47,106028914.0,11759.57,11459.37,11758.75,-2.19,XTR@DAX30
