날짜,매매기준율_USDKRW,전일대비_USDKRW,현찰_USDKRW,현찰.1_USDKRW,송금_USDKRW,송금.1_USDKRW,T/C 사실때_USDKRW,외화수표 파실 때_USDKRW,매매기준율_JPYKRW,전일대비_JPYKRW,현찰_JPYKRW,현찰.1_JPYKRW,송금_JPYKRW,송금.1_JPYKRW,T/C 사실때_JPYKRW,외화수표 파실 때_JPYKRW,매매기준율_EURKRW,전일대비_EURKRW,현찰_EURKRW,현찰.1_EURKRW,송금_EURKRW,송금.1_EURKRW,T/C 사실때_EURKRW,외화수표 파실 때_EURKRW,매매기준율_CNYKRW,전일대비_CNYKRW,현찰_CNYKRW,현찰.1_CNYKRW,송금_CNYKRW,송금.1_CNYKRW,T/C 사실때_CNYKRW,외화수표 파실 때_CNYKRW
2019.08.14,1215.00,8.00,1236.26,1193.74,1226.90,1203.10,1229.58,1201.74,1144.77,18.50,1164.80,1124.74,1155.98,1133.56,1156.21,1133.03,1358.49,13.90,1385.52,1331.46,1372.07,1344.91,1378.86,1344.33,172.67,0.32,181.30,164.04,174.39,170.95,,
2019.08.13,1223.00,4.00,1244.40,1201.60,1234.90,1211.10,1237.67,1209.73,1163.27,3.81,1183.62,1142.92,1174.67,1151.87,1174.90,1151.34,1372.39,7.48,1399.70,1345.08,1386.11,1358.67,1392.97,1358.08,172.35,0.67,180.96,163.74,174.07,170.63,,
2019.08.12,1219.00,7.00,1240.33,1197.67,1230.90,1207.10,1233.62,1205.74,1159.46,13.31,1179.75,1139.17,1170.82,1148.10,1171.05,1147.57,1364.91,7.23,1392.07,1337.75,1378.55,1351.27,1385.38,1350.69,171.68,0.60,180.26,163.10,173.39,169.97,,
2019.08.09,1212.00,3.00,1233.21,1190.79,1223.80,1200.20,1226.54,1198.84,1146.15,6.61,1166.20,1126.10,1157.38,1134.92,1157.61,1134.39,1357.68,3.12,1384.69,1330.67,1371.25,1344.11,1378.04,1343.53,171.08,0.11,179.63,162.53,172.79,169.37,,
2019.08.08,1209.00,6.50,1230.15,1187.85,1220.80,1197.20,1223.50,1195.84,1139.54,4.35,1159.48,1119.60,1150.70,1128.38,1150.93,1127.86,1354.56,4.61,1381.51,1327.61,1368.10,1341.02,1374.87,1340.44,170.97,0.65,179.51,162.43,172.67,169.27,,
2019.08.07,1215.50,0.50,1236.77,1194.23,1227.40,1203.60,1230.08,1202.23,1143.89,0.33,1163.90,1123.88,1155.10,1132.68,1155.32,1132.15,1359.17,2.81,1386.21,1332.13,1372.76,1345.58,1379.55,1345.00,171.62,0.39,180.20,163.04,173.33,169.91,,
2019.08.06,1216.00,0.00,1237.28,1194.72,1227.90,1204.10,1230.59,1202.73,1143.56,2.91,1163.57,1123.55,1154.76,1132.36,1154.99,1131.83,1361.98,3.95,1389.08,1334.88,1375.59,1348.37,1382.40,1347.79,172.01,0.49,180.61,163.41,173.73,170.29,,
2019.08.05,1216.00,15.50,1237.28,1194.72,1227.90,1204.10,1230.59,1202.73,1146.47,22.98,1166.53,1126.41,1157.70,1135.24,1157.93,1134.71,1358.03,25.60,1385.05,1331.01,1371.61,1344.45,1378.40,1343.87,171.52,0.84,180.09,162.95,173.23,169.81,,
2019.08.02,1200.50,11.50,1221.50,1179.50,1212.20,1188.80,1214.90,1187.44,1123.49,33.21,1143.15,1103.83,1134.50,1112.48,1134.72,1111.96,1332.43,20.19,1358.94,1305.92,1345.75,1319.11,1352.41,1318.54,172.36,0.33,180.97,163.75,174.08,170.64,,
2019.08.01,1189.00,6.00,1209.80,1168.20,1200.60,1177.40,1203.26,1176.06,1090.28,0.66,1109.35,1071.21,1100.96,1079.60,1101.18,1079.09,1312.24,6.33,1338.35,1286.13,1325.36,1299.12,1331.92,1298.56,172.03,0.33,180.63,163.43,173.75,170.31,,
