날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2019.08.15,1493.42,0.03,-0.00%
2019.08.14,1493.45,0.09,-0.01%
2019.08.13,1493.54,0.0,0.00%
2019.08.12,1493.54,0.01,+ 0.00%
2019.08.11,1493.53,0.1,-0.01%
2019.08.10,1493.63,0.14,-0.01%
2019.08.09,1493.77,0.27,-0.02%
2019.08.15,1493.42,0.03,-0.00%
2019.08.14,1493.45,0.09,-0.01%
2019.08.13,1493.54,0.0,0.00%
2019.08.12,1493.54,0.01,+ 0.00%
2019.08.11,1493.53,0.1,-0.01%
2019.08.10,1493.63,0.14,-0.01%
2019.08.09,1493.77,0.27,-0.02%
2019.08.15,1493.39,0.06,-0.00%
2019.08.08,1494.04,0.08,-0.01%
2019.08.07,1494.12,0.01,-0.00%
2019.08.06,1494.13,0.15,+ 0.01%
2019.08.05,1493.98,0.16,+ 0.01%
2019.08.04,1493.82,0.12,+ 0.01%
2019.08.03,1493.7,0.18,+ 0.01%
2019.08.02,1493.52,0.61,+ 0.04%
2019.08.01,1492.91,0.51,+ 0.03%
2019.07.31,1492.4,0.3,+ 0.02%
2019.07.30,1492.1,0.53,+ 0.04%
2019.07.29,1491.57,0.2,+ 0.01%
2019.07.28,1491.37,0.18,+ 0.01%
2019.07.27,1491.19,0.18,+ 0.01%
2019.07.26,1491.01,0.26,+ 0.02%
2019.07.25,1490.75,0.25,+ 0.02%
2019.07.24,1490.5,0.05,-0.00%
2019.07.23,1490.55,0.04,+ 0.00%
2019.07.22,1490.51,0.08,+ 0.01%
2019.07.21,1490.43,0.01,-0.00%
2019.07.20,1490.44,0.05,-0.00%
2019.07.19,1490.49,0.01,+ 0.00%
2019.07.18,1490.48,0.01,+ 0.00%
2019.07.17,1490.47,0.04,+ 0.00%
2019.07.16,1490.43,0.18,+ 0.01%
2019.07.15,1490.25,0.17,+ 0.01%
2019.07.14,1490.08,0.11,+ 0.01%
2019.07.13,1489.97,0.1,-0.01%
2019.07.12,1490.07,0.22,-0.01%
2019.07.11,1490.29,0.27,-0.02%
2019.07.10,1490.56,0.46,-0.03%
2019.07.09,1491.02,0.57,-0.04%
2019.07.08,1491.59,0.38,-0.03%
2019.07.07,1491.97,0.29,-0.02%
2019.07.06,1492.26,0.62,-0.04%
2019.07.05,1492.88,0.93,-0.06%
2019.07.04,1493.81,0.94,-0.06%
2019.07.03,1494.75,0.83,-0.06%
2019.07.02,1495.58,0.94,-0.06%
2019.07.01,1496.52,1.07,-0.07%
2019.06.30,1497.59,0.27,-0.02%
2019.06.29,1497.86,0.82,-0.05%
2019.06.28,1498.68,0.46,-0.03%
2019.06.27,1499.14,0.76,-0.05%
2019.06.26,1499.9,0.97,-0.06%
2019.06.25,1500.87,1.54,-0.10%
2019.06.24,1502.41,1.16,-0.08%
2019.06.23,1503.57,0.56,-0.04%
2019.06.22,1504.13,1.67,-0.11%
2019.06.21,1505.8,1.94,-0.13%
2019.06.20,1507.74,2.22,-0.15%
2019.06.19,1509.96,2.49,-0.16%
2019.06.18,1512.45,2.76,-0.18%
2019.06.17,1515.21,2.09,-0.14%
2019.06.16,1517.3,1.03,-0.07%
2019.06.15,1518.33,2.57,-0.17%
2019.06.14,1520.9,2.46,-0.16%
2019.06.13,1523.36,2.53,-0.17%
2019.06.12,1525.89,2.11,-0.14%
2019.06.11,1528.0,2.06,-0.13%
2019.06.10,1530.06,0.94,-0.06%
2019.06.09,1531.0,0.58,-0.04%
2019.06.08,1531.58,0.99,-0.06%
2019.06.07,1532.57,0.61,-0.04%
2019.06.06,1533.18,1.06,-0.07%
2019.06.05,1534.24,0.98,-0.06%
2019.06.04,1535.22,0.95,-0.06%
2019.06.03,1536.17,0.36,-0.02%
2019.06.02,1536.53,0.13,-0.01%
2019.06.01,1536.66,0.32,-0.02%
2019.05.31,1536.98,0.1,-0.01%
2019.05.30,1537.08,0.11,+ 0.01%
2019.05.29,1536.97,0.75,+ 0.05%
2019.05.28,1536.22,0.39,+ 0.03%
2019.05.27,1535.83,0.4,+ 0.03%
2019.05.26,1535.43,0.19,+ 0.01%
2019.05.25,1535.24,0.34,+ 0.02%
2019.05.24,1534.91,0.67,+ 0.04%
2019.05.23,1534.24,0.74,+ 0.05%
2019.05.22,1533.5,1.04,+ 0.07%
2019.05.21,1532.39,1.33,+ 0.09%
2019.05.20,1531.06,0.7,+ 0.05%
2019.05.19,1530.36,0.55,+ 0.04%
2019.05.18,1529.81,1.12,+ 0.07%
2019.05.17,1528.69,1.09,+ 0.07%
2019.05.16,1527.6,1.01,+ 0.07%
2019.05.15,1526.59,0.84,+ 0.06%
2019.05.14,1525.75,1.3,+ 0.09%
2019.05.13,1524.45,1.29,+ 0.08%
2019.05.12,1523.16,0.93,+ 0.06%
2019.05.11,1522.23,2.22,+ 0.15%
2019.05.10,1520.01,2.7,+ 0.18%
