날짜,체결가,전일비,등락률,거래량(천주),거래대금(백만)
2019-07-29,2029.48,36.78,-1.78,608670.0,4681216.0
2019-07-26,2066.26,8.22,-0.4,583332.0,5056450.0
2019-07-25,2074.48,7.82,-0.38,590890.0,5126430.0
2019-07-24,2082.3,19.15,-0.91,841580.0,4115461.0
2019-07-23,2101.45,8.11,0.39,640162.0,4523644.0
2019-07-22,2093.34,1.02,-0.05,320412.0,3156360.0
2019-07-19,2094.36,27.81,1.35,386118.0,4037112.0
2019-07-18,2066.55,6.37,-0.31,437178.0,3848957.0
2019-07-17,2072.92,18.95,-0.91,752119.0,4549215.0
2019-07-16,2091.87,9.39,0.45,674500.0,5158374.0
2019-07-15,2082.48,4.18,-0.2,455075.0,3656611.0
2019-07-12,2086.66,6.08,0.29,398353.0,3714594.0
2019-07-11,2080.58,21.8,1.06,368242.0,4934006.0
2019-07-10,2058.78,6.75,0.33,350018.0,3867014.0
2019-07-09,2052.03,12.14,-0.59,433474.0,4361543.0
2019-07-08,2064.17,46.42,-2.2,507760.0,4275766.0
2019-07-05,2110.59,1.86,0.09,452463.0,3959700.0
2019-07-04,2108.73,12.71,0.61,440234.0,4471126.0
2019-07-03,2096.02,26.0,-1.23,510185.0,4512416.0
2019-07-02,2122.02,7.72,-0.36,442102.0,4031531.0
2019-07-01,2129.74,0.88,-0.04,405153.0,4544544.0
2019-06-28,2130.62,3.7,-0.17,529503.0,4191165.0
2019-06-27,2134.32,12.47,0.59,637264.0,5064017.0
2019-06-26,2121.85,0.21,0.01,725559.0,4389757.0
2019-06-25,2121.64,4.69,-0.22,634514.0,4198154.0
2019-06-24,2126.33,0.71,0.03,660547.0,3996337.0
2019-06-21,2125.62,5.67,-0.27,680199.0,5112321.0
2019-06-20,2131.29,6.51,0.31,996213.0,3906259.0
2019-06-19,2124.78,26.07,1.24,847570.0,4860633.0
2019-06-18,2098.71,7.98,0.38,584434.0,4272621.0
2019-06-17,2090.73,4.68,-0.22,547928.0,3980288.0
2019-06-14,2095.41,7.74,-0.37,465636.0,4576882.0
2019-06-13,2103.15,5.6,-0.27,543630.0,5928147.0
2019-06-12,2108.75,3.06,-0.14,686305.0,4614542.0
2019-06-11,2111.81,12.32,0.59,542183.0,4097741.0
2019-06-10,2099.49,27.16,1.31,452195.0,4129681.0
2019-06-07,2072.33,3.22,0.16,357532.0,4244185.0
2019-06-05,2069.11,2.14,0.1,372801.0,4370136.0
2019-06-04,2066.97,0.88,-0.04,428182.0,4773926.0
2019-06-03,2067.85,26.11,1.28,381005.0,4581028.0
2019-05-31,2041.74,2.94,0.14,426548.0,4838796.0
2019-05-30,2038.8,15.48,0.77,444802.0,4833410.0
2019-05-29,2023.32,25.51,-1.25,368271.0,4564422.0
2019-05-28,2048.83,4.62,0.23,474627.0,7648693.0
2019-05-27,2044.21,1.1,-0.05,342684.0,3394628.0
2019-05-24,2045.31,14.28,-0.69,471975.0,4458262.0
2019-05-23,2059.59,5.27,-0.26,500234.0,4744879.0
2019-05-22,2064.86,3.61,0.18,500633.0,4520006.0
2019-05-21,2061.25,5.54,0.27,516057.0,5212908.0
2019-05-20,2055.71,0.09,-0.0,622980.0,4625745.0
2019-05-17,2055.8,11.89,-0.58,519449.0,4863783.0
2019-05-16,2067.69,25.09,-1.2,733268.0,5960610.0
2019-05-15,2092.78,10.94,0.53,556549.0,4856173.0
2019-05-14,2081.84,2.83,0.14,688582.0,5780370.0
2019-05-13,2079.01,29.03,-1.38,494836.0,4523847.0
2019-05-10,2108.04,6.03,0.29,701729.0,6228329.0
2019-05-09,2102.01,66.0,-3.04,729216.0,7926742.0
2019-05-08,2168.01,8.98,-0.41,448442.0,5052696.0
2019-05-07,2176.99,19.33,-0.88,472192.0,5330635.0
2019-05-03,2196.32,16.43,-0.74,609795.0,5186042.0
2019-05-02,2212.75,9.16,0.42,358950.0,4924645.0
2019-04-30,2203.59,12.84,-0.58,374761.0,5568343.0
2019-04-29,2216.43,37.12,1.7,373525.0,4885124.0
2019-04-26,2179.31,11.19,-0.51,560739.0,5143993.0
2019-04-25,2190.5,10.53,-0.48,427285.0,5413864.0
2019-04-24,2201.03,19.48,-0.88,564866.0,6002015.0
2019-04-23,2220.51,3.86,0.17,470609.0,4786981.0
2019-04-22,2216.65,0.5,0.02,487911.0,4566179.0
2019-04-19,2216.15,2.38,0.11,517275.0,4847420.0
2019-04-18,2213.77,32.12,-1.43,507550.0,5940105.0
2019-04-17,2245.89,2.74,-0.12,445956.0,5425594.0
2019-04-16,2248.63,5.75,0.26,561427.0,6894773.0
2019-04-15,2242.88,9.43,0.42,397924.0,6554649.0
2019-04-12,2233.45,9.01,0.41,436941.0,5870307.0
2019-04-11,2224.44,0.05,0.0,395009.0,5767600.0
2019-04-10,2224.39,10.83,0.49,390930.0,4895638.0
2019-04-09,2213.56,2.96,0.13,409577.0,4778338.0
2019-04-08,2210.6,0.99,0.04,335877.0,4558330.0
2019-04-05,2209.61,3.08,0.14,511707.0,4129338.0
2019-04-04,2206.53,3.26,0.15,425460.0,4729875.0
2019-04-03,2203.27,26.09,1.2,344289.0,5116975.0
2019-04-02,2177.18,8.9,0.41,250943.0,4097935.0
2019-04-01,2168.28,27.61,1.29,259056.0,4237852.0
2019-03-29,2140.67,12.57,0.59,357009.0,5040893.0
2019-03-28,2128.1,17.52,-0.82,284332.0,4315448.0
2019-03-27,2145.62,3.18,-0.15,358547.0,4431972.0
2019-03-26,2148.8,3.94,0.18,295608.0,4123405.0
2019-03-25,2144.86,42.09,-1.92,302120.0,4048366.0
2019-03-22,2186.95,2.07,0.09,291431.0,4852197.0
2019-03-21,2184.88,7.78,0.36,337350.0,6153800.0
2019-03-20,2177.1,0.52,-0.02,312810.0,4099673.0
2019-03-19,2177.62,1.87,-0.09,314207.0,3807770.0
2019-03-18,2179.49,3.38,0.16,249163.0,3959857.0
2019-03-15,2176.11,20.43,0.95,373548.0,6297979.0
2019-03-14,2155.68,7.27,0.34,337193.0,5802023.0
2019-03-13,2148.41,8.77,-0.41,279216.0,3978006.0
2019-03-12,2157.18,19.08,0.89,345710.0,4119381.0
2019-03-11,2138.1,0.66,0.03,260053.0,3866272.0
2019-03-08,2137.44,28.35,-1.31,308815.0,4436517.0
2019-03-07,2165.79,9.81,-0.45,287996.0,4763712.0
2019-03-06,2175.6,3.63,-0.17,320126.0,4695755.0
2019-03-05,2179.23,11.43,-0.52,308799.0,4909625.0
2019-03-04,2190.66,4.78,-0.22,367747.0,6311416.0
2019-02-28,2195.44,39.35,-1.76,489008.0,8053936.0
2019-02-27,2234.79,8.19,0.37,296431.0,4823190.0
2019-02-26,2226.6,5.96,-0.27,327193.0,4921095.0
2019-02-25,2232.56,2.06,0.09,333063.0,4598631.0
2019-02-22,2230.5,1.84,0.08,401737.0,4540762.0
2019-02-21,2228.66,1.1,-0.05,375779.0,5382025.0
2019-02-20,2229.76,24.13,1.09,369029.0,5842969.0
2019-02-19,2205.63,5.26,-0.24,384228.0,4460124.0
2019-02-18,2210.89,14.8,0.67,309197.0,4564786.0
2019-02-15,2196.09,29.76,-1.34,395651.0,4983570.0
2019-02-14,2225.85,24.37,1.11,561305.0,6281173.0
2019-02-13,2201.48,11.01,0.5,416940.0,5504338.0
2019-02-12,2190.47,9.74,0.45,423286.0,5753218.0
2019-02-11,2180.73,3.68,0.17,398632.0,5149761.0
2019-02-08,2177.05,26.37,-1.2,386225.0,5633694.0
2019-02-07,2203.42,0.04,-0.0,423145.0,6249732.0
2019-02-01,2203.46,1.39,-0.06,471733.0,6740304.0
2019-01-31,2204.85,1.35,-0.06,537459.0,7661131.0
2019-01-30,2206.2,22.84,1.05,469483.0,6776093.0
2019-01-29,2183.36,6.06,0.28,539639.0,6274123.0
2019-01-28,2177.3,0.43,-0.02,366842.0,5990036.0
2019-01-25,2177.73,32.7,1.52,402960.0,6926796.0
2019-01-24,2145.03,17.25,0.81,407782.0,5942872.0
2019-01-23,2127.78,10.01,0.47,401771.0,5001027.0
2019-01-22,2117.77,6.84,-0.32,414468.0,4836542.0
2019-01-21,2124.61,0.33,0.02,392704.0,5212676.0
2019-01-18,2124.28,17.22,0.82,449278.0,5171836.0
2019-01-17,2107.06,0.96,0.05,464810.0,5663724.0
2019-01-16,2106.1,8.92,0.43,492712.0,5273405.0
2019-01-15,2097.18,32.66,1.58,432915.0,5154295.0
2019-01-14,2064.52,11.05,-0.53,427924.0,4875183.0
2019-01-11,2075.57,12.29,0.6,372532.0,4479731.0
2019-01-10,2063.28,1.43,-0.07,375681.0,5270294.0
2019-01-09,2064.71,39.44,1.95,379519.0,5421755.0
2019-01-08,2025.27,11.83,-0.58,390699.0,4722446.0
2019-01-07,2037.1,26.85,1.34,428010.0,5129877.0
2019-01-04,2010.25,16.55,0.83,403264.0,5401591.0
2019-01-03,1993.7,16.3,-0.81,424198.0,5318912.0
2019-01-02,2010.0,31.04,-1.52,321760.0,4235198.0
2018-12-28,2041.04,12.6,0.62,347842.0,4058850.0
2018-12-27,2028.44,0.43,0.02,390094.0,5281844.0
2018-12-26,2028.01,27.0,-1.31,314188.0,5336856.0
2018-12-24,2055.01,6.48,-0.31,280638.0,3791538.0
2018-12-21,2061.49,1.37,0.07,304921.0,5389566.0
2018-12-20,2060.12,18.72,-0.9,412812.0,5320912.0
2018-12-19,2078.84,16.73,0.81,412554.0,5022718.0
2018-12-18,2062.11,8.98,-0.43,423880.0,5147666.0
2018-12-17,2071.09,1.71,0.08,438220.0,4630980.0
2018-12-14,2069.38,26.17,-1.25,439541.0,5583989.0
2018-12-13,2095.55,12.98,0.62,368200.0,7562750.0
2018-12-12,2082.57,29.6,1.44,439402.0,5297463.0
2018-12-11,2052.97,0.82,-0.04,267011.0,4911710.0
2018-12-10,2053.79,21.97,-1.06,335952.0,4526625.0
2018-12-07,2075.76,7.07,0.34,363007.0,4220996.0
2018-12-06,2068.69,32.62,-1.55,528193.0,5442143.0
2018-12-05,2101.31,13.04,-0.62,484114.0,4660341.0
2018-12-04,2114.35,17.58,-0.82,498735.0,5428831.0
2018-12-03,2131.93,35.07,1.67,428908.0,5431269.0
2018-11-30,2096.86,17.24,-0.82,413390.0,6923913.0
2018-11-29,2114.1,5.88,0.28,300493.0,5115843.0
2018-11-28,2108.22,8.8,0.42,274540.0,4590460.0
2018-11-27,2099.42,16.4,0.79,235145.0,4413843.0
2018-11-26,2083.02,25.54,1.24,231575.0,4333640.0
2018-11-23,2057.48,12.47,-0.6,221467.0,3692234.0
2018-11-22,2069.95,6.6,-0.32,237048.0,3979713.0
2018-11-21,2076.55,6.03,-0.29,262007.0,4959579.0
2018-11-20,2082.58,17.98,-0.86,274836.0,4800201.0
2018-11-19,2100.56,8.16,0.39,268926.0,4609680.0
2018-11-16,2092.4,4.34,0.21,294134.0,4693924.0
2018-11-15,2088.06,20.01,0.97,346712.0,4632958.0
2018-11-14,2068.05,3.18,-0.15,332675.0,5421114.0
2018-11-13,2071.23,9.21,-0.44,376813.0,5619103.0
2018-11-12,2080.44,5.65,-0.27,291483.0,5445340.0
2018-11-09,2086.09,6.54,-0.31,292935.0,5153125.0
2018-11-08,2092.63,13.94,0.67,322591.0,5869615.0
2018-11-07,2078.69,10.93,-0.52,471029.0,6247377.0
2018-11-06,2089.62,12.7,0.61,307933.0,5007974.0
2018-11-05,2076.92,19.08,-0.91,353462.0,4830435.0
2018-11-02,2096.0,71.54,3.53,364081.0,6635295.0
2018-11-01,2024.46,5.23,-0.26,337981.0,5838824.0
2018-10-31,2029.69,15.0,0.74,366579.0,6226668.0
2018-10-30,2014.69,18.64,0.93,434359.0,6907770.0
2018-10-29,1996.05,31.1,-1.53,416016.0,6134427.0
2018-10-26,2027.15,36.15,-1.75,436042.0,6484528.0
2018-10-25,2063.3,34.28,-1.63,364818.0,7258359.0
2018-10-24,2097.58,8.52,-0.4,392945.0,6309715.0
2018-10-23,2106.1,55.61,-2.57,363224.0,5856461.0
2018-10-22,2161.71,5.45,0.25,303503.0,3836728.0
2018-10-19,2156.26,7.95,0.37,343657.0,4722913.0
2018-10-18,2148.31,19.2,-0.89,316734.0,4155099.0
2018-10-17,2167.51,22.39,1.04,266401.0,4642949.0
2018-10-16,2145.12,0.0,0.0,215108.0,3815383.0
2018-10-15,2145.12,16.73,-0.77,255858.0,4612077.0
2018-10-12,2161.85,32.18,1.51,288607.0,5965646.0
